index,ID,Date,Username,Post,Mentions,Hashtags,ReplierID,Replier,Reply_date,Reply,Reply_mentions,Reply_Hashtags
0,1298972125609562112,2020-08-27 13:14:23,mwaura_davie,@AIRTEL_KE its true but my usage did not even exceed 2gb and its depleted...,AIRTEL_KE,,1298973820854796288,AIRTEL_KE,2020-08-27 13:21:07+00:00,Provide your number for checks. ^Jamo,,
1,1298972682277588993,2020-08-27 13:16:35,MaverickAoko__,@AIRTEL_KE Tried that but don't know what the barring password is!,AIRTEL_KE,,1298973581741821953,AIRTEL_KE,2020-08-27 13:20:10+00:00,Input 0000 ^Jamo,,
2,1298973162781069316,2020-08-27 13:18:30,walterambenge,Dear @AIRTEL_KE i just bought your line but i dont like frequent messages that you're flooding my inbox with Thank you,AIRTEL_KE,,1298973474388615168,AIRTEL_KE,2020-08-27 13:19:44+00:00,Karibu Member. Please share your number Walterz. ^Jamo,,
3,1298968750318850049,2020-08-27 13:00:58,MaverickAoko__,@AIRTEL_KE That code ain't working!,AIRTEL_KE,,1298973243978768386,AIRTEL_KE,2020-08-27 13:18:49+00:00,You can also try below steps; To Deactivate barring of all incoming calls to your line dial the service code: #35*0000#^Jamo,,
4,1298968656026763264,2020-08-27 13:00:35,Ken_wambua1,@AIRTEL_KE you guys are funny now where is the 200mbs at 20bob in your app???,AIRTEL_KE,,1298972873579728896,AIRTEL_KE,2020-08-27 13:17:21+00:00,"We have rectified the issue, It's now available Ken ^JamoIt's",,
5,1298968349536325632,2020-08-27 12:59:22,Kevokush2,"@AIRTEL_KE Hi airtel, my number calls as unknown number since the day I bought it. It's been almost two weeks now a… https://t.co/2qFDyaOTEo",AIRTEL_KE,,1298972599633039361,AIRTEL_KE,2020-08-27 13:16:16+00:00,"Hello Kevo, Please check your phone settings under call settings > Caller ID ^Jamo",,
6,1298967980328595456,2020-08-27 12:57:54,MaverickAoko__,@AIRTEL_KE Invalid MMI code,AIRTEL_KE,,1298972404925030400,AIRTEL_KE,2020-08-27 13:15:29+00:00,Check your call settings under Call barring ^Jamo,,
7,1298967610726461440,2020-08-27 12:56:26,vin_mutua,@AIRTEL_KE I'm experiencing reliability issues guys.  I have been trying to access some funds I had saved with mfan… https://t.co/e3jlOiRymH,AIRTEL_KE,,1298972135038291968,AIRTEL_KE,2020-08-27 13:14:25+00:00,"Hello Mutua, Please share your number for checks. ^Jamo",,
8,1298965599641575424,2020-08-27 12:48:27,_Hamm_Kay,@AIRTEL_KE see DM,AIRTEL_KE,,1298970016503730178,AIRTEL_KE,2020-08-27 13:06:00+00:00,"Hi Hamm, Responded. ^Jamo",,
9,1298955572792963072,2020-08-27 12:08:36,EricNM06,@AIRTEL_KE What's up with your network?.. communication is okay but internet is just shit,AIRTEL_KE,,1298969064287723520,AIRTEL_KE,2020-08-27 13:02:13+00:00,"Hi Eric, Apologies for the inconveniences caused, Please share your number and exact location for assistance ^Jamo",,
10,1298955374205296641,2020-08-27 12:07:49,MBASUELIUD,@AIRTEL_KE Am wondering since when will Airtel stop snatching bundles because of expiry date/time why can't it emulate co- sisters,AIRTEL_KE,,1298968659457650689,AIRTEL_KE,2020-08-27 13:00:36+00:00,Which bundle were you subscribed to Eliud? ^Jamo,,
