index,ID,Date,Post,Username,Retweets,Favorites,Geo,Mentions,Hashtags
3,1297587835671924736,2020-08-23 17:33:42+00:00,@AIRTEL_KE what's happening with your data around Wangige? Very slow and sometimes totally unaccessible.. ,Humble_Sammy,0,0,,@AIRTEL_KE,
4,1297587350051196928,2020-08-23 17:31:46+00:00,Yeah @AIRTEL_KE is a disappointment Now they say 150mbs(12am-6am) yet they deduct from the day bundles ( the other 150mbs) when you browse within that time ,KareithiReen,0,1,,@AIRTEL_KE,
5,1297587308863139840,2020-08-23 17:31:37+00:00,Any assistance please? @AIRTEL_KE,aumaundi,0,0,,@AIRTEL_KE,
6,1297586996068659200,2020-08-23 17:30:22+00:00,"@AIRTEL_KE your network seems more better, great improvement if not by coincidence",ItsChirchir,0,0,,@AIRTEL_KE,
7,1297586963227324420,2020-08-23 17:30:14+00:00,Hey @AIRTEL_KE how do I reset my airtel money pin. I don't remember it,eddieluto,0,0,,@AIRTEL_KE,
8,1297586909288583170,2020-08-23 17:30:01+00:00,@AIRTEL_KE what's wrong with your internet? So unstable. Location:kitengela,JohnMwaura08,0,0,,@AIRTEL_KE,
10,1297586291371134976,2020-08-23 17:27:34+00:00,@AIRTEL_KE pls explain to me why you have to split data into two? Why don't you just give it all and however I use it should be up to me .,borise18,0,0,,@AIRTEL_KE,
14,1297585368318062598,2020-08-23 17:23:54+00:00,@AIRTEL_KE what's up with your internet connection . I need help here ,wanjeru_brian,0,0,,@AIRTEL_KE,
17,1297585094387855362,2020-08-23 17:22:49+00:00,Airtel jaisa ghatiya network kisi bhi company ka nhi h. Chhat k upar baithe h.. aur 4g pe 1kb/s ki speed aa rahi h. Airtel cheater... Airtel cheater.. Chor hai airtel chor... Sabko pata chale @Airtel_Presence @airtelindia @AirtelNigeria @AIRTEL_KE @airtel_tanzania @Airtel_Ug,DivyanandMishr2,0,1,,@Airtel_Presence @airtelindia @AirtelNigeria @AIRTEL_KE @airtel_tanzania @Airtel_Ug,
23,1297584147783876608,2020-08-23 17:19:03+00:00,@AIRTEL_KE how can i get the 30 Gb binge data??,Anne_The_Queen,0,1,,@AIRTEL_KE,
24,1297584003944525825,2020-08-23 17:18:29+00:00,"If you are part of @AIRTEL_KE management and you are reading this, please it's time you consider improving your network across the country. Stop giving your customer care employee a hard work explaining things they have no control about. Just take a look their replies.",PendoFranklin,0,0,,@AIRTEL_KE,
31,1297582642603405312,2020-08-23 17:13:04+00:00,"@AIRTEL_KE I need to speak to your customer service provider, how do I go about it? I think my identity is compromised",Diana94356035,0,0,,@AIRTEL_KE,
32,1297582572692791299,2020-08-23 17:12:47+00:00,Hii pesa @AIRTEL_KE wanatumia kueka adverts sii waitumie tuh kuimprove network zao,msyoki_,3,3,,@AIRTEL_KE,
36,1297582315409940482,2020-08-23 17:11:46+00:00,@AIRTEL_KE I literally lack a word to term you. One can't even access the My Airtel app without data so how will one even buy the previous amazing data say 20mbs @20bob.,pioneer_weru,0,0,,@AIRTEL_KE,
56,1297579138874773504,2020-08-23 16:59:09+00:00,"I have followed all the responses from @AIRTEL_KE but amazingly enough there is no action based follow up, from the comments its evidently something ain't working up. I wish you could stick to customer satisfaction...We can't all DM our locations and nearest landmarks...",johnsilla_1,0,1,,@AIRTEL_KE,
61,1297576270306344966,2020-08-23 16:47:45+00:00,"@AIRTEL_KE Today your internet is very slow, 0.24 Mbps download | 2.66 Mbps upload.",ArreLL350,0,0,,@AIRTEL_KE,
63,1297575796098453505,2020-08-23 16:45:52+00:00,"@AIRTEL_KE kwanza kimana Loitoktok sub-county hakuna network huko, you guys need to fix that",JamesMonchoi,0,0,,@AIRTEL_KE,
68,1297574525010231303,2020-08-23 16:40:49+00:00,"Still waiting for your response after DM you, @Airtel_Presence @airtelindia @AirtelNigeria @AIRTEL_KE Stop Doing scam and provide me Port code. ",yourbhaumik,0,0,,@Airtel_Presence @airtelindia @AirtelNigeria @AIRTEL_KE,
